long,lat,alt,x,y,pre_value,meanTem,meanPre,popdensity,mean
-4.316666667,42.15,832.1875,391212.2934,4667269.678,73.8088062,12.07,648.16,11.8,14.11978261
-4.15,42.15,831.935,404983.0899,4667070.723,73.80354625,12.07,648.16,11.8,14.11978261
-3.983333333,42.15,823.135,418753.8051,4666898.662,73.08217376,12.07,648.16,11.8,14.11978261
-3.816666667,42.15,864.5825,432524.4507,4666753.49,76.57859267,12.07,648.16,11.8,14.11978261
-3.65,42.15,958.095,446295.0385,4666635.206,84.43943242,12.07,648.16,11.8,14.11978261
-3.483333333,42.15,1073.4975,460065.5803,4666543.807,94.12813343,12.07,648.16,11.8,14.11978261
-3.316666667,42.15,1245.55,473836.0878,4666479.292,108.5830718,12.07,648.16,11.8,14.11978261
-3.15,42.15,1379.9225,487606.5729,4666441.658,119.8641174,12.07,648.16,11.8,14.11978261
-6.983333333,41.98333333,1092.007353,169995.4308,4655605.645,96.67141682,12.07,648.16,11.8,14.11978261
-6.816666667,41.98333333,1283.075188,183805.3629,4654975.877,112.6861262,12.07,648.16,11.8,14.11978261
-6.65,41.98333333,943.9602649,197615.0137,4654373.114,84.02004276,12.07,648.16,11.8,14.11978261
-6.483333333,41.98333333,934.5706941,211424.3951,4653797.343,83.08355872,12.07,648.16,11.8,14.11978261
-6.316666667,41.98333333,881.6725,225233.5191,4653248.552,78.47289295,12.07,648.16,11.8,14.11978261
-6.15,41.98333333,821.245,239042.3975,4652726.732,73.22871793,12.07,648.16,11.8,14.11978261
-5.983333333,41.98333333,758.2775,252851.0424,4652231.87,67.80096587,12.07,648.16,11.8,14.11978261
-5.816666667,41.98333333,733.085,266659.4657,4651763.959,65.57893903,12.07,648.16,11.8,14.11978261
-5.65,41.98333333,717.29,280467.6798,4651322.988,64.18359647,12.07,648.16,11.8,14.11978261
-5.483333333,41.98333333,739.0325,294275.6965,4650908.949,65.91247959,12.07,648.16,11.8,14.11978261
-5.316666667,41.98333333,736.175,308083.5283,4650521.833,65.63649946,12.07,648.16,11.8,14.11978261
-5.15,41.98333333,769.46,321891.1872,4650161.633,68.42969256,12.07,648.16,11.8,14.11978261
-4.983333333,41.98333333,757.1425,335698.6857,4649828.343,67.39814173,12.07,648.16,11.8,14.11978261
-4.816666667,41.98333333,762.685,349506.0359,4649521.954,67.88059878,12.07,648.16,11.8,14.11978261
-4.65,41.98333333,802.9475,363313.2503,4649242.462,71.28464357,12.07,648.16,11.8,14.11978261
-4.483333333,41.98333333,778.19,377120.3411,4648989.86,69.24879657,12.07,648.16,11.8,14.11978261
-4.316666667,41.98333333,804.04,390927.3209,4648764.145,71.48420416,12.07,648.16,11.8,14.11978261
-4.15,41.98333333,872.375,404734.2019,4648565.31,77.27985326,12.07,648.16,11.8,14.11978261
-3.983333333,41.98333333,888.385,418540.9968,4648393.353,78.6477194,12.07,648.16,11.8,14.11978261
-3.816666667,41.98333333,889.495,432347.7178,4648248.27,78.76166342,12.07,648.16,11.8,14.11978261
-3.65,41.98333333,941.0475,446154.3776,4648130.057,83.09829284,12.07,648.16,11.8,14.11978261
-3.483333333,41.98333333,1065.225,459960.9886,4648038.714,93.53209268,12.07,648.16,11.8,14.11978261
-3.316666667,41.98333333,1056.555,473767.5633,4647974.238,92.78680827,12.07,648.16,11.8,14.11978261
-3.15,41.98333333,1217.76,487574.1142,4647936.627,106.3295036,12.07,648.16,11.8,14.11978261
-2.983333333,41.98333333,1387.6675,501380.6538,4647925.881,120.6023279,12.07,648.16,11.8,14.11978261
-2.816666667,41.98333333,1551.6725,515187.1947,4647942,134.3792744,12.07,648.16,11.8,14.11978261
-2.65,41.98333333,1503.8675,528993.7494,4647984.984,130.337172,12.07,648.16,11.8,14.11978261
-2.483333333,41.98333333,1352.6825,542800.3303,4648054.833,117.6012672,12.07,648.16,11.8,14.11978261
-2.316666667,41.98333333,1303.1625,556606.95,4648151.55,113.4216284,12.07,648.16,11.8,14.11978261
-2.15,41.98333333,1100.65,570413.6211,4648275.136,96.36038987,12.07,648.16,11.8,14.11978261
-6.483333333,41.81666667,765.170347,210672.0045,4635289.122,68.7908904,12.07,648.16,11.8,14.11978261
-6.316666667,41.81666667,858.9425,224517.2245,4634740.678,76.52369019,12.07,648.16,11.8,14.11978261
-6.15,41.81666667,867.065,238362.1848,4634219.187,77.05419203,12.07,648.16,11.8,14.11978261
-5.983333333,41.81666667,815.1275,252206.898,4633724.639,72.57345708,12.07,648.16,11.8,14.11978261
-5.816666667,41.81666667,724.02,266051.377,4633257.024,64.79664744,12.07,648.16,11.8,14.11978261
-5.65,41.81666667,700.77,279895.6345,4632816.333,62.77238119,12.07,648.16,11.8,14.11978261
-5.483333333,41.81666667,703.6425,293739.6835,4632402.557,62.94777664,12.07,648.16,11.8,14.11978261
-5.316666667,41.81666667,718.2925,307583.5369,4632015.688,64.15193704,12.07,648.16,11.8,14.11978261
-5.15,41.81666667,759.1025,321427.2075,4631655.718,67.5883352,12.07,648.16,11.8,14.11978261
-4.983333333,41.81666667,822.74,335270.7084,4631322.64,72.94693496,12.07,648.16,11.8,14.11978261
-4.816666667,41.81666667,843.79,349114.0526,4631016.447,74.73948604,12.07,648.16,11.8,14.11978261
-4.65,41.81666667,784.96,362957.2532,4630737.133,69.83015418,12.07,648.16,11.8,14.11978261
-4.483333333,41.81666667,793.32,376800.3232,4630484.693,70.59440101,12.07,648.16,11.8,14.11978261
