group,id,year,value,coverage,long,lat,alt,x,y,logmax,mean,PM2.5mean,popdensity,Temperature,Precipitation,Vapour Pressure,logmean,Ts,Ps,longs,lats,alts,pds,VPs
ES1688A_2017,ES1688A,2017,24.375,99.18,-0.065,39.8922,37,750943.919,4419916.715,3.193558017,8.014,6.16,212.457966,17.69166667,29.65,13.225,2.081190012,1.212888748,-0.996104854,1.166857166,-0.587746108,-0.913071687,0.013640795,1.030936496
ES1688A_2018,ES1688A,2018,19.417,99.45,-0.065,39.8922,37,750943.919,4419916.715,2.966148971,6.952,5.477,213.313266,17.1,56.21666667,13.23333333,1.939029388,0.942857137,-0.171624135,1.166857166,-0.587746108,-0.913071687,0.017409455,1.035932576
ES1688A_2019,ES1688A,2019,19.833,98.36,-0.065,39.8922,37,750943.919,4419916.715,2.987347217,6.414,5.044,215.1004085,17.33333333,39.59166667,13.09166667,1.858483101,1.049348475,-0.687571135,1.166857166,-0.587746108,-0.913071687,0.02528404,0.95099918
ES1688A_2020,ES1688A,2020,18.833,99.18,-0.065,39.8922,37,750943.919,4419916.715,2.93561065,5.852,4.782,216.6497527,17.63333333,42.95,13.25,1.766783483,1.186265911,-0.583347255,1.166857166,-0.587746108,-0.913071687,0.032110828,1.045924743
ES1688A_2021,ES1688A,2021,20.833,96.44,-0.065,39.8922,37,750943.919,4419916.715,3.036538268,6.516,5.159,218.1112019,17.40833333,44.4,13.2,1.874260691,1.083577834,-0.538347366,1.166857166,-0.587746108,-0.913071687,0.038550329,1.015948249
ES1689A_2017,ES1689A,2017,58.167,68.49,-0.4683,40.0542,466,715946.4097,4436844.179,4.063318184,13.596,7.905,212.457966,14.01666667,41.11666667,9.708333333,2.609775632,-0.464349842,-0.640243666,1.030905937,-0.509469428,0.420162233,0.013640795,-1.077410259
ES1689A_2018,ES1689A,2018,35.667,65.75,-0.4683,40.0542,466,715946.4097,4436844.179,3.574225892,10.833,6.206,213.313266,13.70833333,71.79166667,9.766666667,2.382597031,-0.605070543,0.311736738,1.030905937,-0.509469428,0.420162233,0.017409455,-1.042437682
ES1689A_2019,ES1689A,2019,33.875,63.01,-0.4683,40.0542,466,715946.4097,4436844.179,3.522677279,12.736,7.984,215.1004085,13.825,49.53333333,9.65,2.544432629,-0.551824872,-0.379037416,1.030905937,-0.509469428,0.420162233,0.02528404,-1.112382835
ES1689A_2020,ES1689A,2020,54.917,67.76,-0.4683,40.0542,466,715946.4097,4436844.179,4.005822954,13.93,8.507,216.6497527,14.06666667,57.725,9.733333333,2.634044788,-0.44153027,-0.124813907,1.030905937,-0.509469428,0.420162233,0.032110828,-1.062422011
ES1691A_2017,ES1691A,2017,69.625,96.99,-0.6033,39.9306,616,704799.1908,4422804.767,4.243123698,11.972,7.346,212.457966,15.11666667,33.46666667,11.35833333,2.48257059,0.037680756,-0.877656872,0.985397839,-0.569191636,0.88632794,0.013640795,-0.088185954
ES1691A_2018,ES1691A,2018,31.125,93.97,-0.6033,39.9306,616,704799.1908,4422804.767,3.438011355,9.565,6.293,213.313266,14.64166667,58.74166667,11.56666667,2.258110603,-0.179105184,-0.09326226,0.985397839,-0.569191636,0.88632794,0.017409455,0.036716109
ES1691A_2019,ES1691A,2019,30.958,100,-0.6033,39.9306,616,704799.1908,4422804.767,3.432631447,9.141,5.686,215.1004085,14.825,40.36666667,11.35,2.212769789,-0.095433419,-0.66351947,0.985397839,-0.569191636,0.88632794,0.02528404,-0.093182034
ES1691A_2020,ES1691A,2020,60.25,87.16,-0.6033,39.9306,616,704799.1908,4422804.767,4.098502572,9.118,6.186,216.6497527,15.09166667,48.75833333,11.45,2.210250482,0.02627097,-0.40308908,0.985397839,-0.569191636,0.88632794,0.032110828,-0.033229046
ES1691A_2021,ES1691A,2021,50.542,93.97,-0.6033,39.9306,616,704799.1908,4422804.767,3.922804674,10.004,6.664,218.1112019,14.81666667,49.60833333,11.225,2.302985013,-0.09923668,-0.376709835,0.985397839,-0.569191636,0.88632794,0.038550329,-0.168123269
ES1696A_2017,ES1696A,2017,35.125,98.9,-1.9844,43.3028,88,582372.493,4794941.848,3.558913128,13.851,NA,299.8479403,14.06666667,88.99166667,11.35,2.628357432,-0.44153027,0.845528521,0.519833143,1.060219599,-0.754575347,0.398702296,-0.093182034
ES1696A_2018,ES1696A,2018,36.375,98.9,-1.9844,43.3028,88,582372.493,4794941.848,3.593881725,13.972,NA,300.5764446,14.125,126.0583333,11.51666667,2.637055327,-0.414907436,1.995870501,0.519833143,1.060219599,-0.754575347,0.401912263,0.006739615
ES1696A_2019,ES1696A,2019,58.13,96.99,-1.9844,43.3028,88,582372.493,4794941.848,4.062681882,14.989,NA,301.8399226,14.15833333,109.8583333,11.15833333,2.707316599,-0.399694389,1.493113124,0.519833143,1.060219599,-0.754575347,0.407479455,-0.20809193
ES1696A_2020,ES1696A,2020,61.417,90.44,-1.9844,43.3028,88,582372.493,4794941.848,4.11768667,13.752,6.881,302.3942494,14.45,108.9166667,11.40833333,2.621184268,-0.266580214,1.463889061,0.519833143,1.060219599,-0.754575347,0.409921954,-0.05820946
ES1696A_2021,ES1696A,2021,96.542,91.78,-1.9844,43.3028,88,582372.493,4794941.848,4.569978147,18.394,11.79,300.9774675,13.65,106.0083333,11.13333333,2.912024524,-0.631693377,1.373630661,0.519833143,1.060219599,-0.754575347,0.403679268,-0.223080177
ES1697A_2017,ES1697A,2017,42.833,86.3,-2.0109,43.3094,3,580214.4588,4795649.021,3.757308834,17.319,8.827,299.8479403,14.19166667,83.85,11.61666667,2.851804165,-0.384481338,0.68595995,0.510900072,1.063408648,-1.018735913,0.398702296,0.066692603
ES1697A_2018,ES1697A,2018,44.958,98.63,-2.0109,43.3094,3,580214.4588,4795649.021,3.805728721,16.973,8.609,300.5764446,14.14166667,116.95,11.75833333,2.831623846,-0.407300911,1.713198788,0.510900072,1.063408648,-1.018735913,0.401912263,0.151625999
ES1697A_2019,ES1697A,2019,66.458,89.32,-2.0109,43.3094,3,580214.4588,4795649.021,4.196570169,17.275,9.219,301.8399226,14.20833333,104.55,11.41666667,2.84926037,-0.376874817,1.328372153,0.510900072,1.063408648,-1.018735913,0.407479455,-0.053213373
ES1697A_2020,ES1697A,2020,52.375,94.81,-2.0109,43.3094,3,580214.4588,4795649.021,3.958429378,12.404,8.523,302.3942494,14.48333333,101.9166667,11.66666667,2.518019001,-0.251367167,1.246648219,0.510900072,1.063408648,-1.018735913,0.409921954,0.096669097
ES1697A_2021,ES1697A,2021,62.391,96.99,-2.0109,43.3094,3,580214.4588,4795649.021,4.133421034,12.384,7.787,300.9774675,13.775,99.625,11.375,2.516405317,-0.574644445,1.175527704,0.510900072,1.063408648,-1.018735913,0.403679268,-0.078193787
ES1712A_2017,ES1712A,2017,49.318,91.51,-2.9871,43.2984,17,501046.3552,4793952.557,3.898289126,20.566,NA,299.8479403,14.225,82.86666667,11.55833333,3.023639227,-0.369268291,0.655442784,0.18182596,1.058093565,-0.975227114,0.398702296,0.031720023
ES1712A_2018,ES1712A,2018,64.25,96.44,-2.9871,43.2984,17,501046.3552,4793952.557,4.162781724,21.049,NA,300.5764446,14.19166667,115.5333333,11.675,3.046853053,-0.384481338,1.669233378,0.18182596,1.058093565,-0.975227114,0.401912263,0.101665178
ES1712A_2019,ES1712A,2019,57.458,66.03,-2.9871,43.2984,17,501046.3552,4793952.557,4.051054246,17.99,NA,301.8399226,14.25,104.4333333,11.34166667,2.889816048,-0.357858505,1.324751472,0.18182596,1.058093565,-0.975227114,0.407479455,-0.098178114
ES1712A_2020,ES1712A,2020,69.875,96.72,-2.9871,43.2984,17,501046.3552,4793952.557,4.246707931,18.867,12.222,302.3942494,14.58333333,100.1416667,11.6,2.937414364,-0.205728022,1.191562148,0.18182596,1.058093565,-0.975227114,0.409921954,0.056700437
ES1712A_2021,ES1712A,2021,66.458,94.52,-2.9871,43.2984,17,501046.3552,4793952.557,4.196570169,19.822,12.242,300.9774675,13.78333333,99.35833333,11.31666667,2.986792432,-0.570841184,1.167251862,0.18182596,1.058093565,-0.975227114,0.403679268,-0.113166362
ES1713A_2017,ES1713A,2017,46.75,99.45,-2.9023,43.2549,76,507930.3687,4789126.273,3.844814256,18.109,10.161,299.8479403,14.225,82.86666667,11.55833333,2.896409052,-0.369268291,0.655442784,0.210411787,1.037074827,-0.791868603,0.398702296,0.031720023
ES1713A_2018,ES1713A,2018,39.667,96.71,-2.9023,43.2549,76,507930.3687,4789126.273,3.680519608,13.638,9.765,300.5764446,14.19166667,115.5333333,11.675,2.612860014,-0.384481338,1.669233378,0.210411787,1.037074827,-0.791868603,0.401912263,0.101665178
ES1713A_2019,ES1713A,2019,43.542,93.97,-2.9023,43.2549,76,507930.3687,4789126.273,3.77372599,12.938,11.234,301.8399226,14.25,104.4333333,11.34166667,2.560168718,-0.357858505,1.324751472,0.210411787,1.037074827,-0.791868603,0.407479455,-0.098178114
ES1713A_2020,ES1713A,2020,64.292,96.17,-2.9023,43.2549,76,507930.3687,4789126.273,4.163435207,15.1,9.061,302.3942494,14.58333333,100.1416667,11.6,2.714694744,-0.205728022,1.191562148,0.210411787,1.037074827,-0.791868603,0.409921954,0.056700437
ES1713A_2021,ES1713A,2021,81.417,95.62,-2.9023,43.2549,76,507930.3687,4789126.273,4.399584096,19.24,10.775,300.9774675,13.78333333,99.35833333,11.31666667,2.956991445,-0.570841184,1.167251862,0.210411787,1.037074827,-0.791868603,0.403679268,-0.113166362
ES1718A_2020,ES1718A,2020,150.547,95.9,-3.0102,38.1744,691,499106.5922,4225165.399,5.014275328,30.256,16.692,97.28823853,17.16666667,32.74166667,12.49166667,3.409694512,0.973283235,-0.900156816,0.174039019,-1.417768828,1.119410793,-0.493825061,0.591281251
ES1718A_2021,ES1718A,2021,143.827,95.89,-3.0102,38.1744,691,499106.5922,4225165.399,4.968611188,31.668,14.343,97.60797772,16.95833333,34.13333333,12.4,3.455306707,0.87820168,-0.856967268,0.174039019,-1.417768828,1.119410793,-0.492416212,0.536324343
ES1740A_2017,ES1740A,2017,71.792,95.34,-1.64,42.8122,455,611189.1781,4740857.167,4.273773049,18.516,NA,61.79482244,13.20833333,59,9.975,2.918635223,-0.83326627,-0.085245039,0.635929357,0.823166888,0.385976748,-0.650217693,-0.917535623
ES1740A_2018,ES1740A,2018,32.042,95.62,-1.64,42.8122,455,611189.1781,4740857.167,3.467047542,15.254,NA,62.25676066,13.31666667,86.85833333,10.1,2.724841764,-0.78382386,0.779321788,0.635929357,0.823166888,0.385976748,-0.64818228,-0.842594388
ES1740A_2019,ES1740A,2019,59.875,90.14,-1.64,42.8122,455,611189.1781,4740857.167,4.092259056,16.673,NA,62.86497931,13.35833333,73.225,9.766666667,2.813790645,-0.764807552,0.356219386,0.635929357,0.823166888,0.385976748,-0.645502321,-1.042437682
ES1740A_2020,ES1740A,2020,50.417,69.4,-1.64,42.8122,455,611189.1781,4740857.167,3.92032842,14.037,NA,63.23549225,13.58333333,72.69166667,10.01666667,2.641696701,-0.662119475,0.339667703,0.635929357,0.823166888,0.385976748,-0.643869751,-0.892555209
ES1746A_2017,ES1746A,2017,64.636,99.45,-2.232,42.341,570,563263.4039,4687923.781,4.168771531,16.335,8.182,61.99207136,12.79166667,43.1,9.341666667,2.793310045,-1.023429372,-0.578692094,0.436367921,0.595488051,0.743370457,-0.649348566,-1.297237882
ES1746A_2018,ES1746A,2018,60,97.81,-2.232,42.341,570,563263.4039,4687923.781,4.094344562,14.519,7.911,62.08721506,12.70833333,64.475,9.441666667,2.675458137,-1.061461997,0.084668334,0.436367921,0.595488051,0.743370457,-0.64892934,-1.237284894
ES1746A_2019,ES1746A,2019,50.708,99.18,-2.232,42.341,570,563263.4039,4687923.781,3.926083689,14.371,7.928,62.38850347,12.75833333,53.00833333,9.166666667,2.665212287,-1.038642424,-0.271192855,0.436367921,0.595488051,0.743370457,-0.64760179,-1.402155611
ES1746A_2020,ES1746A,2020,70.217,99.18,-2.232,42.341,570,563263.4039,4687923.781,4.251590447,13.145,7.475,62.64618434,13,52.45,9.375,2.576041458,-0.928347821,-0.288520398,0.436367921,0.595488051,0.743370457,-0.646466385,-1.277253553
ES1746A_2021,ES1746A,2021,62.292,96.71,-2.232,42.341,570,563263.4039,4687923.781,4.131833007,14.086,7.477,62.61565907,12.4,51.875,9.133333333,2.645181396,-1.202182693,-0.306365182,0.436367921,0.595488051,0.743370457,-0.646600887,-1.422139941
ES1747A_2017,ES1747A,2017,58.917,98.63,-1.651,42.826,418,610265.3127,4742375.167,4.076129674,14.464,NA,61.79482244,13.20833333,59,9.975,2.671662804,-0.83326627,-0.085245039,0.63222129,0.829834901,0.270989207,-0.650217693,-0.917535623
ES1747A_2018,ES1747A,2018,39.5,93.42,-1.651,42.826,418,610265.3127,4742375.167,3.676300672,13.945,NA,62.25676066,13.31666667,86.85833333,10.1,2.635121021,-0.78382386,0.779321788,0.63222129,0.829834901,0.270989207,-0.64818228,-0.842594388
ES1747A_2019,ES1747A,2019,67.667,95.34,-1.651,42.826,418,610265.3127,4742375.167,4.214598616,13.991,NA,62.86497931,13.35833333,73.225,9.766666667,2.638414266,-0.764807552,0.356219386,0.63222129,0.829834901,0.270989207,-0.645502321,-1.042437682
ES1747A_2020,ES1747A,2020,49.667,98.09,-1.651,42.826,418,610265.3127,4742375.167,3.905340729,12.88,NA,63.23549225,13.58333333,72.69166667,10.01666667,2.555675721,-0.662119475,0.339667703,0.63222129,0.829834901,0.270989207,-0.643869751,-0.892555209
ES1747A_2021,ES1747A,2021,89.625,90.14,-1.651,42.826,418,610265.3127,4742375.167,4.495634299,13.933,NA,63.44259455,12.88333333,69.725,9.758333333,2.634260127,-0.981593492,0.247598965,0.63222129,0.829834901,0.270989207,-0.642957208,-1.047433764
ES1749A_2017,ES1749A,2017,37.591,67.95,-2.1731,42.8981,530,567510.7029,4749830.697,3.62676466,9.819,NA,61.79482244,12.59166667,59.76666667,9.783333333,2.284319284,-1.114707663,-0.061451994,0.456222935,0.864672856,0.619059602,-0.650217693,-1.032445517
ES1749A_2018,ES1749A,2018,56.125,98.36,-2.1731,42.8981,530,567510.7029,4749830.697,4.027581346,15.152,NA,62.25676066,12.50833333,86.41666667,9.925,2.718132536,-1.152740287,0.765614925,0.456222935,0.864672856,0.619059602,-0.64818228,-0.947512117
ES1749A_2019,ES1749A,2019,67.316,95.62,-2.1731,42.8981,530,567510.7029,4749830.697,4.20939795,15.07,NA,62.86497931,12.56666667,74.41666667,9.591666667,2.712706013,-1.126117449,0.393202053,0.456222935,0.864672856,0.619059602,-0.645502321,-1.147355411
ES1749A_2020,ES1749A,2020,65.875,98.09,-2.1731,42.8981,530,567510.7029,4749830.697,4.187759007,14.869,NA,63.23549225,12.80833333,71.60833333,9.833333333,2.699278509,-1.015822851,0.306047096,0.456222935,0.864672856,0.619059602,-0.643869751,-1.002469023
